date,time_month,year,month,upwelling,ui,Isotherm_21,sst,temp_50m,euphotic_depth_obs,MLD,depth_cutoff,cutoff_source,TotChlA_mmolN,micro_mmolN,nano_mmolN,pico_mmolN,micro_frac,nano_frac,pico_frac,size_centroid,size_shannon,nbss_slope,n_hplc_samples,NO3_mmolN,PON_mmolN,PP_mgC_m2_d,Temp_C,n_niskin_samples,FN_mmolN_m2_d,zoo_gt200_mmolN,zoo_gt500_mmolN,n_zoo_samples,export_flux_mmolN,export_flux_C,trap_CN,export_flux_corrected_mmolN
2000-03-01,03-2000,2000,3,upwelling,moderate,47,24.70909090909091,20.883,55.5,15,55.5,observed,0.09724904667651423,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.938613694258178,5.997622494226847,821.3214058613007,22.30002800099115,1,2.114607379667274,NA,NA,NA,0.678232312415221,5.411705936225126,7.904851897124606,2.2539677491373498
2000-04-01,04-2000,2000,4,upwelling,weak,54,24.420181818181817,21.342,37.1,27,NA,no_prediction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3185220576524924,2.715459546697579,8.486209436221925,NA
2000-05-01,05-2000,2000,5,upwelling,moderate,29,23.589,20.178,34.6,12,34.6,observed,0.34426712121707953,0.1916630412549268,0.06069130083753904,0.09191277912461378,0.5567276961486908,0.17629130723543535,0.2669809966158739,1.0890872489863985,0.9846071933271469,0.1595812386316287,1,1.7568748795749736,15.983039518811474,814.9030213620993,22.15511074922777,1,2.1201327577917444,NA,NA,NA,1.63837495171828,13.043598923209283,7.887503406777405,8.166925754082635
2000-06-01,06-2000,2000,6,upwelling,weak,93,24.99718181818182,21.991,41,26,41,observed,0.11583119503366585,0.016012122728320165,0.043243657394616504,0.05657541491072918,0.1382367049193122,0.37333343044633116,0.48842986463435667,0.4491473897385373,0.9913693233117881,-0.2740894187316709,1,0.5279015743887863,6.362257886574173,654.6860629853245,24.168205940407347,1,1.4254816924104476,NA,NA,NA,0.6068394374241451,4.9121638498043465,8.182703355257681,2.61503706313246
2000-07-01,07-2000,2000,7,upwelling,moderate,49,23.34481818181818,20.905,15.9,23,15.9,observed,0.0792522714873157,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.4982312359249947,13.781462727157018,1720.2709175823215,22.851824306496248,1,4.379413837161632,NA,NA,NA,0.5354465624330692,3.9963366913662477,7.46564087086837,5.201037709829849
2000-08-01,08-2000,2000,8,relaxed,relaxed,114,28.31327272727273,24.101,55.9,22,55.9,observed,0.10222061484561054,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.06147500498102083,5.974455912596186,790.4893692389012,25.933891114687295,1,1.4714147021341113,NA,NA,NA,0.642535874919683,5.2451919074182,8.223847836452949,2.1222212075374127
2000-09-01,09-2000,2000,9,relaxed,relaxed,112,27.42809090909091,23.26,37,12,37,observed,0.14466653976041205,0.03335351676943925,0.04110707623119098,0.07020594675978181,0.230554465633016,0.28415054579497123,0.48529498857201286,0.544600026514585,1.0466854341529046,-0.1616161340195754,1,0.04176338964937712,6.159467290661706,908.0099023375196,25.502625007364667,1,1.7805352308815632,NA,NA,NA,0.39266081245091744,2.955624011322954,7.463558404795604,1.84787709435508
2000-10-01,10-2000,2000,10,relaxed,relaxed,125,27.178272727272727,23.856,56.3,14,56.3,observed,0.11704174560923145,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.552450648913449,9.873192904895163,567.1387945410758,25.223624507565116,1,1.1073071778225652,NA,NA,NA,0.2855714999643036,2.1230538672883195,7.4344038797768714,0.9374567930615986
2000-11-01,11-2000,2000,11,relaxed,relaxed,112,28.010636363636362,24.077,NA,12,47.02184319080684,isotherm_chl_model,NA,NA,NA,NA,0.3606701104529777,0.16714300914911728,0.47218688039790513,0.6878237795086544,1.021131179831007,NA,1,0.22053272240254557,6.440582130145788,333.3689967794501,26.209539113261375,1,0.5558562557538103,NA,NA,NA,1.9276076247590492,13.903921405378403,7.213045449079085,7.385129876709252
2000-12-01,12-2000,2000,12,relaxed,relaxed,82,25.14,22.992,NA,27,38.63361361806384,isotherm_chl_model,NA,NA,NA,NA,0.5804751107627211,0.1648720481636893,0.2546528410735896,1.125162819142713,0.961249162201385,NA,1,0.6735758161671177,24.175394522902526,1657.2715998199285,NA,1,NA,NA,NA,NA,1.0232978748720878,8.048178059001472,7.991284756649838,4.640432052078822
